order_book_id,date,report_year,report_period,info_classification,institute,info_summary,report_date,title,author,est_profit,report_date_last,title_last,est_profit_last,info_date,report_type,forecast_profit_max,forecast_profit_min,profit,profit_q,forecast_profit_growth_limit,profit_growth,forcast_profit_growth_limit_q,profit_growth_q,fin_report_date_last,fin_report_type_last,forecast_profit_max_last,forecast_profit_min_last,profit_last,con_calc_date,con_profit,con_calc_date_last,con_profit_last,con_profit_q_last,con_profit_gr_last,con_profit_gr_q_last,expect_rate,rice_create_tm,create_tm
000709.XSHE,2011-04-27,2011,q1,1405,,2011-04-27发布的财报中，1季度净利润增速超出机构的一致预期,,,,,,,,2011-04-27,financial_reports,,,,556245188.2700,,,,0.3722,,,,,,,,2011-04-26,,425193765.6912,,,0.3082,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2011-04-27,2011,q1,1501,,2011-04-27发布的财报净利润同比增速超出一致预期2011同比增速,,,,,,,,2011-04-27,financial_reports,,,556245188.2700,,,0.3722,,,,,,,,,,2011-04-26,1816616249.0625,,0.0489,,0.3233,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2011-04-27,2011,q1,1503,,2011-04-27发布的财报净利润同比增速超出2011一致预期同比增速,,,,,,,,2011-04-27,financial_reports,,,,556245188.2700,,,,0.3722,,,,,,,,2011-04-26,,425193765.6912,,0.0489,0.3233,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2011-08-29,2011,q2,1405,,2011-08-29发布的财报中，2季度净利润增速超出机构的一致预期,,,,,,,,2011-08-29,financial_reports,,,,431813917.9800,,,,0.3742,,,,,,,,2011-08-26,,299681943.9539,,,0.4409,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2011-08-29,2011,q2,1501,,2011-08-29发布的财报净利润同比增速超出一致预期2011同比增速,,,,,,,,2011-08-29,financial_reports,,,988059106.2500,,,0.3731,,,,,,,,,,2011-08-26,1821334353.8056,,0.0516,,0.3214,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2011-08-29,2011,q2,1503,,2011-08-29发布的财报净利润同比增速超出2011一致预期同比增速,,,,,,,,2011-08-29,financial_reports,,,,431813917.9800,,,,0.3742,,,,,,,,2011-08-26,,299681943.9539,,-0.0463,0.4205,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2011-10-28,2011,q3,1405,,2011-10-28发布的财报中，3季度净利润增速超出机构的一致预期,,,,,,,,2011-10-28,financial_reports,,,,309697155.7800,,,,-0.0015,,,,,,,,2011-10-27,,209081813.4520,,,0.4812,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2011-10-28,2011,q3,1501,,2011-10-28发布的财报净利润同比增速超出一致预期2011同比增速,,,,,,,,2011-10-28,financial_reports,,,1297756262.0300,,,0.2602,,,,,,,,,,2011-10-27,1670469400.8214,,-0.0355,,0.2957,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2011-10-28,2011,q3,1503,,2011-10-28发布的财报净利润同比增速超出2011一致预期同比增速,,,,,,,,2011-10-28,financial_reports,,,,309697155.7800,,,,-0.0015,,,,,,,,2011-10-27,,209081813.4520,,-0.3259,0.3244,2021-04-12 11:01:47,2021-04-12 11:01:47
000709.XSHE,2013-04-13,2012,q4,1403,,2013-04-13发布的业绩快报超出机构的一致预期,,,,,,,,2013-04-13,current_performance,,,109000000.0000,,,,,,,,,,,,,2013-04-12,-179750000.0000,,,,1.6064,2021-04-12 11:01:47,2021-04-12 11:01:47
