order_book_id,date,report_year,report_period,info_classification,institute,info_summary,report_date,title,author,est_profit,report_date_last,title_last,est_profit_last,info_date,report_type,forecast_profit_max,forecast_profit_min,profit,profit_q,forecast_profit_growth_limit,profit_growth,forcast_profit_growth_limit_q,profit_growth_q,fin_report_date_last,fin_report_type_last,forecast_profit_max_last,forecast_profit_min_last,profit_last,con_calc_date,con_profit,con_calc_date_last,con_profit_last,con_profit_q_last,con_profit_gr_last,con_profit_gr_q_last,expect_rate,rice_create_tm,create_tm
000538.XSHE,2011-04-30,2011,q1,1405,,2011-04-30发布的财报中，1季度净利润增速超出机构的一致预期,,,,,,,,2011-04-30,financial_reports,,,,225429440.9100,,,,0.3468,,,,,,,,2011-04-29,,222094708.7381,,,0.0150,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2011-04-30,2011,q1,1501,,2011-04-30发布的财报净利润同比增速超出一致预期2011同比增速,,,,,,,,2011-04-30,financial_reports,,,225429440.9100,,,0.3468,,,,,,,,,,2011-04-29,1228936000.9841,,0.3269,,0.0199,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2011-04-30,2011,q1,1503,,2011-04-30发布的财报净利润同比增速超出2011一致预期同比增速,,,,,,,,2011-04-30,financial_reports,,,,225429440.9100,,,,0.3468,,,,,,,,2011-04-29,,222094708.7381,,0.3269,0.0199,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2012-04-21,2012,q1,1405,,2012-04-21发布的财报中，1季度净利润增速超出机构的一致预期,,,,,,,,2012-04-21,financial_reports,,,,287804143.9600,,,,0.2767,,,,,,,,2012-04-20,,283680408.4411,,,0.0145,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2012-04-21,2012,q1,1501,,2012-04-21发布的财报净利润同比增速超出一致预期2012同比增速,,,,,,,,2012-04-21,financial_reports,,,287804143.9600,,,0.2767,,,,,,,,,,2012-04-20,1523825771.0654,,0.2584,,0.0183,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2012-04-21,2012,q1,1503,,2012-04-21发布的财报净利润同比增速超出2012一致预期同比增速,,,,,,,,2012-04-21,financial_reports,,,,287804143.9600,,,,0.2767,,,,,,,,2012-04-20,,283680408.4411,,0.2584,0.0183,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2012-08-16,2012,q2,1405,,2012-08-16发布的财报中，2季度净利润增速超出机构的一致预期,,,,,,,,2012-08-16,financial_reports,,,,432046402.6300,,,,0.2758,,,,,,,,2012-08-15,,428671149.1728,,,0.0079,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2012-08-16,2012,q2,1501,,2012-08-16发布的财报净利润同比增速超出一致预期2012同比增速,,,,,,,,2012-08-16,financial_reports,,,719850546.5900,,,0.2761,,,,,,,,,,2012-08-15,1535185435.7146,,0.2678,,0.0083,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2012-08-16,2012,q2,1503,,2012-08-16发布的财报净利润同比增速超出2012一致预期同比增速,,,,,,,,2012-08-16,financial_reports,,,,432046402.6300,,,,0.2758,,,,,,,,2012-08-15,,428671149.1728,,0.2658,0.0100,2021-04-12 11:01:47,2021-04-12 11:01:47
000538.XSHE,2012-10-31,2012,q3,1405,,2012-10-31发布的财报中，3季度净利润增速超出机构的一致预期,,,,,,,,2012-10-31,financial_reports,,,,401877498.9200,,,,0.3622,,,,,,,,2012-10-30,,371009823.6504,,,0.0832,2021-04-12 11:01:47,2021-04-12 11:01:47
